100 3
1 3 2 
20 1 1
4 7 1
21 1 1
5 7 1
0 4 2
21 23 3
16 19 2
0 4 1
4 8 2
23 2 3
17 19 1
21 1 2
15 18 2
13 16 2
12 16 2
8 13 2
10 12 2
23 2 3
3 6 1
12 15 1
16 18 1
1 3 1
4 7 1
5 9 3
20 0 2
12 14 3
21 0 3
10 13 1
6 9 2
2 5 1
11 14 2
0 3 2
9 11 2
17 20 3
10 11 1
16 20 2
0 4 1
16 19 3
0 4 2
15 17 2
12 17 3
11 15 1
20 23 3
13 17 3
11 14 3
16 18 1
13 16 3
16 20 1
10 11 1
20 0 1
1 5 1
19 22 1
4 8 3
22 1 2
9 13 1
4 7 3
1 5 2
15 18 3
13 16 3
14 17 3
20 23 3
5 8 2
6 9 1
13 18 1
12 16 1
7 11 3
19 21 1
17 20 3
15 17 2
18 21 2
18 22 2
10 12 2
18 22 2
20 1 1
12 15 2
21 23 3
2 5 2
6 9 1
21 23 2
18 21 1
4 7 2
19 23 1
19 21 1
23 1 3
23 0 2
15 18 3
11 14 3
6 9 1
4 7 1
10 12 2
11 13 2
15 17 1
12 13 3
23 2 3
9 12 2
3 6 2
9 13 2
9 13 3
2 5 1
15 18 2
