100 3
2 2 2 
21 1 1
18 20 2
14 17 1
11 15 1
13 17 1
19 0 1
14 18 2
7 11 2
12 14 2
15 18 1
7 10 1
18 22 2
5 9 3
5 9 1
18 21 2
9 11 1
3 5 2
18 22 2
19 21 1
11 13 2
5 9 2
20 22 2
22 23 2
17 21 3
15 19 2
21 0 1
0 5 2
1 4 2
15 18 2
3 7 3
14 18 3
23 1 2
0 3 3
20 0 2
0 5 3
3 4 3
18 20 1
17 22 2
2 5 2
23 3 1
5 8 2
22 1 2
1 3 3
3 7 3
2 5 3
11 13 3
6 10 1
9 12 1
8 10 3
12 13 3
17 21 2
9 12 2
12 13 3
19 22 3
19 22 1
0 3 3
2 5 1
0 1 3
10 11 2
3 7 3
4 7 2
21 23 1
3 7 3
18 23 1
16 18 1
0 2 3
0 3 2
15 20 3
0 2 1
21 21 2
5 7 2
3 7 3
17 19 1
22 2 2
19 23 2
22 1 3
7 10 1
6 9 3
7 11 2
11 12 2
13 14 3
7 10 3
15 18 2
15 17 3
16 18 3
9 11 3
20 0 3
21 2 3
8 11 2
5 8 3
15 18 1
19 1 1
7 10 1
22 0 1
4 6 3
4 7 3
9 13 3
5 8 2
15 17 1
13 16 3
